,formula,Eform
480,Ba(AlCl4)2,-2.295567081363635
481,Ba(AlS2)2,-1.754765519880949
482,Ba(AlSe2)2,-1.5790870441964242
483,Ba(AlTe2)2,-1.140490400238092
496,Ba(BiS2)2,-1.178021290158727
498,Ba(Cr5S8)2,-1.132555306666663
500,Ba(CuS)2,-1.126581507999994
502,Ba(CuSe)2,-1.070468024437499
503,Ba(CuTe)2,-0.8928087441666661
504,Ba(FeBr4)2,-1.379873224886363
505,Ba(FeS2)2,-1.1502988628571411
508,Ba(FeSe2)2,-0.9615577913392851
509,Ba(GaS2)2,-1.4616634560714301
510,Ba(GaSe2)2,-1.36306374919643
511,Ba(GaTe2)2,-1.025832131666665
512,Ba(InS2)2,-1.363742763869046
513,Ba(InSe2)2,-1.30214578860119
514,Ba(InTe2)2,-1.017688293571426
517,Ba(Mo3S4)2,-1.163883688000015
518,Ba(MoSe)3,-1.009349429575893
485,Ba(PdS2)2,-1.124628872142858
486,Ba(SbS2)2,-1.120472408749996
487,Ba(SbSe2)2,-1.065743429196428
488,Ba(ScTe2)2,-1.642161534523812
489,Ba(SnSe)32,-0.67073484653846
490,Ba(TeMo)6,-0.481912555384616
491,Ba(V3S4)4,-1.36488804275862
492,Ba(V5S8)2,-1.352422692962962
493,Ba(YS2)2,-2.4151363792857152
494,Ba(YSe2)2,-2.240760022410714
495,Ba(YTe2)2,-1.787762902023809
531,Ba11(Nb3S14)2,-1.7585988086666662
532,Ba11(Ta3S13)2,-1.866926389976742
533,Ba12In4S19,-1.877775527119047
534,Ba15(ZrSe3)14,-1.9416637887808101
535,Ba15Fe7S25,-1.7238990497872342
536,Ba2(CrS2)5,-1.313195700588233
537,Ba2(Mo2S3)3,-1.311938195441174
538,Ba20Nb19Se60,-1.5582571523295452
539,Ba2Ag8S7,-0.741530335637251
519,Ba2Ca7I18,-1.856966079629629
523,Ba2CaI6,-1.991597690000004
540,Ba2CdS3,-1.8496002737500001
541,Ba2CdSe3,-1.801110132005208
542,Ba2CdTe3,-1.5324220458333322
543,Ba2CoCl6,-2.2668844977777782
544,Ba2CoNiS4,-1.408718208749999
545,Ba2CoS3,-1.5993896866666661
550,Ba2Cu(SBr)2,-1.886287930714285
552,Ba2Cu(SCl)2,-2.017293339285714
553,Ba2CuAg3(SnS4)2,-1.011424582812498
554,Ba2FeBiS5,-1.444259630833333
555,Ba2FeS3,-1.5915721108333312
556,Ba2FeSbS5,-1.430873837499999
557,Ba2FeSe3,-1.436097730338541
558,Ba2Ga2S5,-1.668080664166666
559,Ba2GaBiS5,-1.572790915555555
560,Ba2GaBiSe5,-1.493450638246527
561,Ba2GaBiTe5,-1.188787954537037
562,Ba2GaS4,-1.7984255564285712
563,Ba2GaSbS5,-1.561313416388888
564,Ba2GaSbSe5,-1.477086528802083
